date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:54	1273/1273	---M--	200	added ('OK')	image/png	etag:%2243f797ecb17694752abfdb9d68462bf4-ssl%22	https://davis-html.netlify.app/assets/img/icon/quote.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/icon/quote.png	(from https://davis-html.netlify.app/index2)
15:25:54	12835/12835	---M--	200	added ('OK')	image/png	etag:%223ff8cb73e83cc9b2d9344fc6293b0bec-ssl%22	https://davis-html.netlify.app/assets/img/client/client1.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/client/client1.png	(from https://davis-html.netlify.app/index2)
15:25:55	11231/11231	---M--	200	added ('OK')	image/png	etag:%22283af054cb563517b4db0229c0e409b5-ssl%22	https://davis-html.netlify.app/assets/img/client/client2.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/client/client2.png	(from https://davis-html.netlify.app/index2)
15:25:55	10504/10504	---M--	200	added ('OK')	image/png	etag:%22fd332ba7a843ce5f9e077e386bb3c0ce-ssl%22	https://davis-html.netlify.app/assets/img/client/client3.png	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/client/client3.png	(from https://davis-html.netlify.app/index2)
15:25:56	14995/14995	---MCZ	200	added ('OK')	text/html	etag:%22b40e6cfd158d821ca64a91ef420f8f46-ssl-df%22	https://davis-html.netlify.app/blog-details	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/blog-details.html	(from https://davis-html.netlify.app/index2)
15:25:56	22903/22903	---M--	200	added ('OK')	image/jpeg	etag:%22749bcc86b5b37a908a1fc81e6347f288-ssl%22	https://davis-html.netlify.app/assets/img/blog/blog1.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/blog/blog1.jpg	(from https://davis-html.netlify.app/index2)
15:25:57	26691/26691	---M--	200	added ('OK')	image/jpeg	etag:%22379605caefb584b2d19d9712df60acde-ssl%22	https://davis-html.netlify.app/assets/img/blog/blog2.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/blog/blog2.jpg	(from https://davis-html.netlify.app/index2)
15:25:57	29740/29740	---M--	200	added ('OK')	image/jpeg	etag:%22fa38deb9356c4f9f0c70ae0858bf4b8b-ssl%22	https://davis-html.netlify.app/assets/img/blog/blog3.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/blog/blog3.jpg	(from https://davis-html.netlify.app/index2)
15:25:58	97162/97162	---MCZ	200	added ('OK')	application/javascript	etag:%2296f458e9264a800c596c8ef51b6111a3-ssl-df%22	https://davis-html.netlify.app/assets/js/jquery-1.12.4.min.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/jquery-1.12.4.min.js	(from https://davis-html.netlify.app/index2)
15:25:58	42663/42663	---MCZ	200	added ('OK')	application/javascript	etag:%22c6bf5d26a5d5426812fee327ce6a369e-ssl-df%22	https://davis-html.netlify.app/assets/js/jquery.slick.min.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/jquery.slick.min.js	(from https://davis-html.netlify.app/index2)
